Zeit;Kanal A;Kanal B
(ms);(mV);(mV)

-23,42458243;-1,04822800;12,99520000
-23,41958243;-0,87352360;12,99520000
-23,41458243;0,00000000;12,99520000
-23,40958243;-0,69881890;17,33206000
-23,40458243;-0,69881890;12,99520000
-23,39958243;-0,34940940;17,33206000
-23,39458243;-0,34940940;12,99520000
-23,38958243;-0,69881890;21,66892000
-23,38458243;0,00000000;17,33206000
-23,37958243;-0,34940940;17,33206000
-23,37458243;-1,04822800;17,33206000
-23,36958243;-0,87352360;21,66892000
-23,36458243;-0,52411410;17,33206000
-23,35958243;-1,39763800;21,66892000
-23,35458243;-0,69881890;21,66892000
-23,34958243;0,17470470;21,66892000
-23,34458243;-0,87352360;21,66892000
-23,33958243;-0,87352360;26,00578000
-23,33458243;-0,34940940;21,66892000
-23,32958243;-0,52411410;26,00578000
-23,32458243;-1,57234300;26,00578000
-23,31958243;-0,34940940;26,00578000
-23,31458243;-0,34940940;26,00578000
-23,30958243;-1,04822800;30,34264000
-23,30458243;-1,22293300;30,34264000
-23,29958243;-1,57234300;26,00578000
-23,29458243;-0,52411410;26,00578000
-23,28958243;-1,57234300;30,34264000
-23,28458243;-0,69881890;26,00578000
-23,27958243;-1,22293300;30,34264000
-23,27458243;-1,39763800;30,34264000
-23,26958243;-0,52411410;30,34264000
-23,26458243;-0,34940940;26,00578000
-23,25958243;-0,69881890;34,67950000
-23,25458243;-0,34940940;34,67950000
-23,24958243;-0,87352360;34,67950000
-23,24458243;0,52411410;39,01636000
-23,23958243;-0,69881890;34,67950000
-23,23458243;-0,52411410;30,34264000
-23,22958243;-0,34940940;34,67950000
-23,22458243;-0,34940940;39,01636000
-23,21958243;0,00000000;34,67950000
-23,21458243;-0,69881890;34,67950000
-23,20958243;-0,34940940;39,01636000
-23,20458243;0,34940940;39,01636000
-23,19958243;-0,17470470;39,01636000
-23,19458243;0,34940940;39,01636000
-23,18958243;-0,34940940;39,01636000
-23,18458243;0,17470470;43,35322000
-23,17958243;-0,34940940;43,35322000
-23,17458243;-0,17470470;43,35322000
-23,16958243;0,34940940;39,01636000
-23,16458243;0,00000000;43,35322000
-23,15958243;0,17470470;47,69008000
-23,15458243;0,17470470;43,35322000
-23,14958243;0,00000000;47,69008000
-23,14458243;0,52411410;43,35322000
-23,13958243;-0,52411410;47,69008000
-23,13458243;0,17470470;47,69008000
-23,12958243;-0,34940940;47,69008000
-23,12458243;0,00000000;47,69008000
-23,11958243;0,17470470;52,02694000
-23,11458243;0,87352360;47,69008000
-23,10958243;-0,17470470;52,02694000
-23,10458243;0,52411410;47,69008000
-23,09958243;0,00000000;56,36380000
-23,09458243;0,17470470;52,02694000
-23,08958243;0,17470470;56,36380000
-23,08458243;0,87352360;52,02694000
-23,07958243;0,17470470;52,02694000
-23,07458243;0,34940940;52,02694000
-23,06958243;-0,52411410;56,36380000
-23,06458243;-0,17470470;52,02694000
-23,05958243;-0,34940940;56,36380000
-23,05458243;0,52411410;56,36380000
-23,04958243;0,69881890;60,70066000
-23,04458243;0,17470470;56,36380000
-23,03958243;0,34940940;56,36380000
-23,03458243;-0,34940940;60,70066000
-23,02958244;-0,52411410;60,70066000
-23,02458244;0,00000000;60,70066000
-23,01958244;0,87352360;60,70066000
-23,01458244;-0,69881890;60,70066000
-23,00958244;0,17470470;60,70066000
-23,00458244;-0,17470470;60,70066000
-22,99958244;0,00000000;65,03752000
-22,99458244;0,52411410;65,03752000
-22,98958244;0,52411410;65,03752000
-22,98458244;-0,52411410;60,70066000
-22,97958244;-0,69881890;65,03752000
-22,97458244;0,34940940;65,03752000
-22,96958244;0,87352360;65,03752000
-22,96458244;0,87352360;65,03752000
-22,95958244;0,17470470;73,71124000
-22,95458244;0,17470470;65,03752000
-22,94958244;0,52411410;69,37438000
-22,94458244;0,52411410;65,03752000
-22,93958244;-0,17470470;73,71124000
-22,93458244;0,17470470;69,37438000
-22,92958244;-0,34940940;73,71124000
-22,92458244;0,69881890;69,37438000
-22,91958244;0,00000000;73,71124000
-22,91458244;0,34940940;69,37438000
-22,90958244;0,52411410;78,04810000
-22,90458244;0,17470470;73,71124000
-22,89958244;0,52411410;73,71124000
-22,89458244;0,52411410;73,71124000
-22,88958244;0,52411410;78,04810000
-22,88458244;0,52411410;73,71124000
-22,87958244;0,69881890;78,04810000
-22,87458244;0,00000000;78,04810000
-22,86958244;0,87352360;78,04810000
-22,86458244;0,00000000;78,04810000
-22,85958244;1,04822800;78,04810000
-22,85458244;0,00000000;82,38496000
-22,84958244;0,69881890;73,71124000
-22,84458244;0,69881890;78,04810000
-22,83958244;0,52411410;82,38496000
-22,83458244;0,00000000;82,38496000
-22,82958244;1,04822800;82,38496000
-22,82458244;0,34940940;82,38496000
-22,81958244;-0,34940940;82,38496000
-22,81458244;0,34940940;82,38496000
-22,80958244;0,00000000;86,72182000
-22,80458244;0,34940940;82,38496000
-22,79958244;0,17470470;86,72182000
-22,79458244;-0,34940940;86,72182000
-22,78958244;0,87352360;86,72182000
-22,78458244;0,69881890;86,72182000
-22,77958244;0,00000000;91,05868000
-22,77458244;1,04822800;86,72182000
-22,76958244;0,17470470;91,05868000
-22,76458244;0,17470470;91,05868000
-22,75958244;-0,17470470;86,72182000
-22,75458244;0,00000000;91,05868000
-22,74958244;0,00000000;91,05868000
-22,74458244;-0,34940940;91,05868000
-22,73958244;0,52411410;95,39554000
-22,73458244;0,00000000;91,05868000
-22,72958244;0,17470470;95,39554000
-22,72458244;0,00000000;91,05868000
-22,71958244;0,00000000;95,39554000
-22,71458244;-0,17470470;95,39554000
-22,70958244;0,00000000;99,73240000
-22,70458244;1,22293300;95,39554000
-22,69958244;0,52411410;95,39554000
-22,69458244;0,52411410;95,39554000
-22,68958244;0,34940940;95,39554000
-22,68458244;0,52411410;95,39554000
-22,67958244;0,17470470;99,73240000
-22,67458244;0,17470470;95,39554000
-22,66958244;0,69881890;104,06930000
